full_name,code_health_score
GaiaEyesHQ/gaiaeyes-media,17.353175953743637
cjchandler/last_update_repo,38.05220368988877
bq2015/FreeProxies,35.59895505824705
andykimpe1/andykimpe1.github.io,12.630954117651546
bq2015/FreeProxies,35.59895505824705
andykimpe1/andykimpe1.github.io,12.630954117651546
743859910/AdGuard_Home_Official-built-in_Rules,21.26148216390863
noworneverev/leetcode-api,46.493296664736256
pixperk/chug,42.983702609932266
tyang816/tyang816,36.05220368988877
twitOne/RPZ-Blocklists,31.139008102243263
jhelvy/potus-econ-scorecard,37.30976815992386
Dvd848/wiki-game,40.15036950827701
nebula-site/nebula-site.github.io,18.46209463622918
pstAmbition/DailyArXiv_Multimodal,28.57937371166866
MSCoreLab/BYU-Core-MS-Lab,43.14929106852954
saveas446/LegacyBuilder,33.27442622101509
yylt/tul,47.110581654736265
liujunxiang0076/liu-site,20.052205079957233
DeltaPhi0/DeltaPhi0,24.450263332384417
Saleh7/BadTrafficData,20.353175953743637
KwanWaiPang/Awesome-VLN,31.53008049446798
constructive-io/constructive,49.227237154471396
pkgforge/bin,33.61423204625781
suptur/DNS-Filters,37.05220368988877
743859910/AdGuard_Home_Thirdparty_Rules,18.353175953743637
schardosin/astonish,53.239365113640666
cysyiu/WeatherMap,30.385537486578258
vpeinado263/infinito-jg,31.385537486578258
Xovee/cs-conf-stats,37.178614667049644
rix4uni/resolvers,24.68251392580799
genkin-he/news,38.64227067010508
projectbluefin/documentation,45.39288768050751
O-VanTho-programmer/ClassManagement,39.15036950827701
dxiv/dxiv,18.353175953743637
Misaka-blog/sfw-client,37.21122215918222
Sirraide/libbase,46.30567361051954
EzCE/ScreenSaver-CE,21.052205079957233
ddthien-coder/rustdesk_server_manager,21.66148216390863
aakalaw/aakalaw.github.io,27.307867583665633
stefanpejcic/OpenPanel,66.91938380857395
breadgrocery/bettergi-script-toolchain,39.55036950827701
1564307973/GC2000,37.05220368988877
soenneker/soenneker.utils.file.download,40.37151359965587
divengine/paramaribo-info-2025,17.353175953743637
argosnothing/nixos-config,19.052205079957233
VatsalyaGautam/VatsalyaGautam,26.015456990898905
netlas-io/netlas-free-iocs,48.24637844717032
ThuanyKamers/ThuanyKamers,18.353175953743637
asfaload/checksums,26.149292458598005
c2fc2f/dotfiles,20.052205079957233
ConradIrwin/conl-lsp,41.983702609932266
takutakahashi/agentapi-proxy,49.639365113640665
IAINBone-Data/layanan,12.630954117651546
mcneds/Album-Poster-Generator,30.385537486578258
ugliestie/wplace-tomsk,37.911942076265255
mochouaaaaa/nix-config,20.052205079957233
SoupDevs/BooruRamen,26.680036331811433
PakmanGames/ruby-mastermind,28.287371668190016
frankrichardhall/T3rn-Executor-bot,28.758569542549402
frankrichardhall/Units-Network-Airdrop-bot,37.48262486521904
frankrichardhall/Swisstronik-ERC721,37.48262486521904
frankrichardhall/T3rn-Airdrop-bot,40.72369840358036
frankrichardhall/Trailblazers-Taiko-Airdrop-bot,33.38553748657826
frankrichardhall/TEA-Testnet-Airdrop-bot,37.48262486521904
xiaobuding520/lunli,30.385537486578258
frankrichardhall/Rise-Chain-Airdrop-bot,37.48262486521904
frankrichardhall/Particle-Pioneer-Testnet-bot,37.48262486521904
frankrichardhall/Nillion-Airdrop-bot,37.48262486521904
frankrichardhall/Sowing-Taker-Farming-Airdrop-bot,40.72369840358036
frankrichardhall/OroSwap-Testnet-Airdrop-bot,38.72369840358036
frankrichardhall/Monad-Curvance-Pump4Gains-bot,41.313765383796664
gitrecon1455/fresh-proxy-list,49.02869106419912
frankrichardhall/Octra-Labs-Client-Installation-bot,25.90255570226995
frankrichardhall/Monad-Testnet-bot,38.48262486521904
frankrichardhall/PlumeNetwork-Testnet-bot,43.813064012251296
frankrichardhall/Humanity-Protocol-Airdrop-bot,47.37825767076578
drussell23/JARVIS,33.192819003381146
Indrudge/Indrudge,18.353175953743637
frankrichardhall/Izumi-Finance-Trailblazers-Taiko-Airdrop-bot,56.47824606892436
frankrichardhall/Kite-AI-Airdrop-bot,32.38553748657826
frankrichardhall/Gotchipus-NFT-Pharos-Network-Airdrop-bot,38.48262486521904
frankrichardhall/Huddle01-Testnet-Airdrop-bot,42.57971224385981
KotomiMitsutakaOgawa/AutoGreen,17.353175953743637
LEOCAR0210/Solver-App,36.05220368988877
