full_name,maintenance_efficiency_score
BigheadSMZ/Zelda-LA-DX-HD-Updated,64.3
drmlive/fancode-live-events,63.599999999999994
indmdev/indmshopbot,58.8
Supremekirb/EBME,63.599999999999994
winterofhell/fedora-optimizations,60.8
flarom/cohesion,58.0
chainapsis/oko,56.8
Setout8/Book-Pen-Book,64.3
MrAbolfazlNorouzi/iran-configs,58.8
guess/claude_code,58.8
manyeyes/ManySpeech,63.599999999999994
atopos31/llmio,64.3
yihad168/tv,58.8
AdeelWajid/iptv_validated_list,58.8
codeby-umar/codeby-umar,62.8
cardenluo/ComfyUI-Apt_Preset,64.3
Eyefyre/NYT-Connections-Answers,60.8
adcontextprotocol/adcp,60.8
dpangestuw/Free-Proxy,59.5
MangaBoya/mangaboya-nsfw,56.8
bq2015/FreeProxies,64.3
noworneverev/leetcode-api,59.599999999999994
pixperk/chug,60.0
KwanWaiPang/Awesome-VLN,56.8
constructive-io/constructive,58.8
Xovee/cs-conf-stats,62.55
rix4uni/resolvers,59.599999999999994
projectbluefin/documentation,64.6
dxiv/dxiv,58.8
Misaka-blog/sfw-client,63.599999999999994
argosnothing/nixos-config,58.8
netlas-io/netlas-free-iocs,61.349999999999994
gitrecon1455/fresh-proxy-list,60.8
frankrichardhall/Humanity-Protocol-Airdrop-bot,62.35000000000001
glycerine/rpc25519,62.0
Nat3z/OpenGameInstaller,63.599999999999994
surisuririsu/gakumas-tools,63.599999999999994
Damocles-fr/PPJF,60.0
Zanue/MDT-dist,63.599999999999994
paul-russo/blots-lang,62.8
rspack-contrib/rspack-dev-server,62.0
mirtlecn/rime-radical-pinyin,60.3
iplocate/free-proxy-list,56.8
4Freye/panelsplit,62.8
qazzxxx/cloudimgs,57.5
ModelEngine-Group/DataMate,65.55
gaoyakang/online_logisim,60.8
gslege/CloudflareIP,64.3
GOATNetwork/goat,63.599999999999994
mrshmllow/tolerable-nvim-nix,64.3
lalifeier/IPTV,64.3
alantang1977/iptv_api,58.8
nene504273/Monkey-D-luffy-Bot-MD,63.599999999999994
743859910/Typora,63.599999999999994
ChHsiching/GitHub-Chinese-Top-Charts-Classified,60.3
sanity-io/sdk,58.8
Wirili/IPTV,64.3
databay-labs/free-proxy-list,57.599999999999994
cluntop/tvbox,60.3
743859910/VPN,58.8
liquidz/elin,64.3
EHylands/QolsysController,58.8
Danialsamadi/v2go,62.0
facebookexperimental/free-threading-benchmarking,63.599999999999994
broadinstitute/trexplorer-catalog,60.8
MHaggis/ClickGrab,58.3
vitoplantamura/HackerNewsRemovals,64.3
junjunlab/omicScope,65.35
Animenosekai/japanterebi-xmltv,63.599999999999994
weapp-vite/weapp-vite,64.8
onikun94/obsidian-local-rss,63.599999999999994
sholdee/home-ops,65.35
drmlive/sliv-live-events,63.599999999999994
Ceasar128/MultronFguardian,63.599999999999994
imdypha/penghijauan,56.8
alejandrofontan/AnyFeature-VSLAM,64.3
bangumi/Bangumi-iOS,63.599999999999994
gornskew/skewed-emacs,58.8
acuitymd/silk-chiffon,61.55
kalbasit/ncps,64.3
lipsumai/Best-AI-Tools,58.8
LejuRobotics/kuavo-ros-opensource,58.8
siganberg/ncSender,58.8
AMD-AGI/Primus-SaFE,63.599999999999994
espressif/esp-webrtc-solution,60.3
reall3d-com/Reall3dViewer,58.3
Tworlizm/Email-Bomber-SMTP,59.5
IsThisMeta/zagreus,63.599999999999994
Eric86777/vps-tcp-tune,58.3
ebrasha/abdal-proxy-hub,57.150000000000006
mcsrainbow/chinese-internet-jargon,58.8
mcsrainbow/chinese-internet-jargon,58.8
laura-a-n-n/silent-hill-museum,63.599999999999994
cmackenzie1/torii-rs,64.3
abusaeeidx/IPTV-Scraper-Zilla,64.3
AndrewChien/Mir2Client_VorticeDX11,58.8
10ium/ScrapeAndCategorize,58.8
numtide/nix-auth,62.0
ebrasha/free-v2ray-public-list,56.3
cubist38/mlx-openai-server,66.05
zhi35/iptv,56.3
