full_name,community_vitality_score
indmdev/Free-Telegram-Store-Bot,72.5863951073172
penhandev/AutoAiVPN,50.84486877100098
BigheadSMZ/Zelda-LA-DX-HD-Updated,59.960686393974875
drmlive/fancode-live-events,38.58844286143655
indmdev/indmshopbot,54.502857355101554
Supremekirb/EBME,42.1771357907406
winterofhell/fedora-optimizations,44.502351001566076
flarom/cohesion,49.78433538147655
chainapsis/oko,45.89871646676467
Setout8/Book-Pen-Book,81.32484941803858
MrAbolfazlNorouzi/iran-configs,36.33318730027812
guess/claude_code,53.65039207274286
manyeyes/ManySpeech,53.31519810223245
atopos31/llmio,72.60842087771393
yihad168/tv,33.78256003879627
AdeelWajid/iptv_validated_list,32.31775299781873
codeby-umar/codeby-umar,29.434029241186835
cardenluo/ComfyUI-Apt_Preset,63.21532231569253
Eyefyre/NYT-Connections-Answers,45.86243595391085
adcontextprotocol/adcp,65.94080954499644
dpangestuw/Free-Proxy,69.31637998464655
MangaBoya/mangaboya-nsfw,22.84844296065281
bq2015/FreeProxies,73.40534538285473
noworneverev/leetcode-api,65.74114007585777
pixperk/chug,35.88952429356128
KwanWaiPang/Awesome-VLN,47.64671942563517
constructive-io/constructive,54.67247674657109
Xovee/cs-conf-stats,58.006964024880666
rix4uni/resolvers,57.818753958813694
projectbluefin/documentation,63.291396244201394
dxiv/dxiv,46.88463688067023
Misaka-blog/sfw-client,50.77748831020722
argosnothing/nixos-config,46.88463688067023
